Spec Number,Spec Name,Para,Sub Section Heading,Submittal Type,Submittal Description,Submittal Summary
102239.13,FOLDING GLASS-PANEL PARTITIONS,3.5-A,DEMONSTRATION,O&M Training And Demonstration,"Engagea factory-authorized service representative to train Owner's maintenance personnel to
adjust, operate, and maintain operable glass-panel partitions.", Engagea
102600,WALL AND DOOR PROTECTION,1.3-A-1,ACTION SUBMITTALS,Product Data,"1. Include construction details, material descriptions, impact strength, dimensions of 
individual components and profiles, and finishes.", Include construction details
102600,WALL AND DOOR PROTECTION,1.3-A-2,ACTION SUBMITTALS,Product Data,"2. Include fire ratings of units recessed in fire-rated walls and listings for door-protection 
items attached to fire-rated doors.", Include ratings units
102600,WALL AND DOOR PROTECTION,1.3-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Include plans, elevations, sections, and attachment details.", Include plans elevation
102600,WALL AND DOOR PROTECTION,1.3-C-1,ACTION SUBMITTALS,Samples,"1. Wall Guards: 12 inches long. Include examples of joinery, corners, end caps, top caps, 
and field splices. 
Corner Guards: 12 inches long. Include example top caps.", Include examples join
102600,WALL AND DOOR PROTECTION,1.4-A,INFORMATIONAL SUBMITTALS,Certificates,Product Certificates : For each type of handrail., Product Certificates
102600,WALL AND DOOR PROTECTION,1.4-B,INFORMATIONAL SUBMITTALS,Certificates,Material Certificates : For each type of exposed plastic material., Material Certificates
102600,WALL AND DOOR PROTECTION,1.4-C,INFORMATIONAL SUBMITTALS,Sample Warranty,Sample Warranty : For special warranty., Sample Warranty For
102600,WALL AND DOOR PROTECTION,1.5-A-1,CLOSEOUT SUBMITTALS,Maintenance Data,"1. Include recommended methods and frequency of maintenance for maintaining best 
condition of plastic covers under anticipated traffic and use conditions. Include 
precautions against using cleaning materials and methods that may be detrimental to 
finishes and performance.", Include recommended methods
102600,WALL AND DOOR PROTECTION,1.6-A-1,MAINTENANCE MATERIAL SUBMITTALS,Attic Stock,"1. Wall-Guard Covers: Full-size plastic covers of maximum length equal to 2 percent of 
each type, color, and texture of cover installed, but no fewer than two, 96-inch- long 
units.", WallGuard
102600,WALL AND DOOR PROTECTION,1.6-A-2,MAINTENANCE MATERIAL SUBMITTALS,Attic Stock,"2. Corner-Guard Covers: Full-size plastic covers of maximum length equal to 2 percent of 
each type, color, and texture of cover installed, but no fewer than two, 48-inch- long 
units.", CornerGuard
102600,WALL AND DOOR PROTECTION,1.6-A-3,MAINTENANCE MATERIAL SUBMITTALS,Attic Stock,"3. Mounting and Accessory Components: Amounts proportional to the quantities of extra 
materials. Package mounting and accessory components with each extra material.", Mounting Access
102600,WALL AND DOOR PROTECTION,1.8-A-1,WARRANTY,Special Warranty,"1. Failures include, but are not limited to, the following: 
 
a. Structural failures including detachment of components from each other or from 
the substrates, delamination, and permanent deformation beyond normal use. 
b. Deterioration of metals, metal finishes, plastics, and other materials beyond normal 
use.", failures include
102600,WALL AND DOOR PROTECTION,1.8-A-2,WARRANTY,Special Warranty,2. Warranty Period: Five years from date of Substantial Completion., Warranty Period Five
102800,"TOILET, BATH, AND LAUNDRY ACCESSORIES",1.5-A-1,ACTION SUBMITTALS,Product Data,"1. Include construction details, material descriptions, dimensions of individual components 
and profiles, and finishes.", Include construction details
102800,"TOILET, BATH, AND LAUNDRY ACCESSORIES",1.5-A-2,ACTION SUBMITTALS,Product Data,"2. Include anchoring and mounting requirements, including requirements for cutouts in 
other work and substrate preparation.", Include mounting requirements
102800,"TOILET, BATH, AND LAUNDRY ACCESSORIES",1.5-A-3,ACTION SUBMITTALS,Product Data,3. Include electrical characteristics., Include electrical characteristics
102800,"TOILET, BATH, AND LAUNDRY ACCESSORIES",1.5-B-1,ACTION SUBMITTALS,Samples,1. Approved full-size Samples will be returned and may be used in the Work., Approve
102800,"TOILET, BATH, AND LAUNDRY ACCESSORIES",1.5-C-1,ACTION SUBMITTALS,Product Schedule,1. Identify locations using room designations indicated., Identify locations
102800,"TOILET, BATH, AND LAUNDRY ACCESSORIES",1.5-C-2,ACTION SUBMITTALS,Product Schedule,2. Identify accessories using designations indicated., Identify accessories
102800,"TOILET, BATH, AND LAUNDRY ACCESSORIES",1.5-D-1,ACTION SUBMITTALS,Delegated-Design Submittal,"1. Include structural design calculations indicating compliance with specified structural- 
performance requirements.", Include structural design
102800,"TOILET, BATH, AND LAUNDRY ACCESSORIES",1.6-A,INFORMATIONAL SUBMITTALS,Sample Warranty,Sample Warranty : For manufacturer's special warranties., Sample Warranty For
102800,"TOILET, BATH, AND LAUNDRY ACCESSORIES",1.7-A,CLOSEOUT SUBMITTALS,Maintenance Data,Maintenance Data : For accessories to include in maintenance manuals., Maintenance Data For
102800,"TOILET, BATH, AND LAUNDRY ACCESSORIES",1.8-A-1,WARRANTY,Manufacturers Warranty,"1. Failures include, but are not limited to, visible silver spoilage defects.", Failures include
102800,"TOILET, BATH, AND LAUNDRY ACCESSORIES",1.8-A-2,WARRANTY,Manufacturers Warranty,2. Warranty Period: 10 years from date of Substantial Completion., Warranty Period years
104413,FIRE PROTECTION CABINETS,1.4-A-1,ACTION SUBMITTALS,Product Data,"1. Show door hardware, cabinet type, trim style, and panel style. Include roughing-in 
dimensions and details showing recessed-mounting method and relationships of box and 
trim to surrounding construction.", Show door hardware
104413,FIRE PROTECTION CABINETS,1.4-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Include plans, elevations, sections, details, and attachments to other work. 
 
RFI 037 - Samples Required for DFH,", Include plans elevation
104413,FIRE PROTECTION CABINETS,1.4-C,ACTION SUBMITTALS,Samples,"Samples : For each type of exposed finish required. Drywall, Toilet Acc, FP Cabinets", Samples For
104413,FIRE PROTECTION CABINETS,1.4-D,ACTION SUBMITTALS,Samples,Samples for Initial Selection : For each type of exposed finish required., Samples Initial
104413,FIRE PROTECTION CABINETS,1.4-E,ACTION SUBMITTALS,Samples,"Samples for Verification : For each type of exposed finish required, prepared on samples 6 by 6 
inches square.", Samples Ver
104413,FIRE PROTECTION CABINETS,1.4-F,ACTION SUBMITTALS,Product Schedule,"Product Schedule : For fire-protection cabinets. Coordinate final fire-protection cabinet schedule 
with fire-extinguisher schedule to ensure proper fit and function.", Fireprotecti
104413,FIRE PROTECTION CABINETS,1.5-A,CLOSEOUT SUBMITTALS,Maintenance Data,Maintenance Data : For fire-protection cabinets to include in maintenance manuals., Maintenance Data For
104416,FIRE EXTINGUISHERS,1.3-A-1,PREINSTALLATION MEETINGS,Meetings,"1. Review methods and procedures related to fire extinguishers including, but not limited to, 
the following: 
a. Schedules and coordination requirements.", Review methods procedures
104416,FIRE EXTINGUISHERS,1.4-A,ACTION SUBMITTALS,Product Data,"Product Data : For each type of product. Include rating and classification, material descriptions, 
dimensions of individual components and profiles, and finishes for fire extinguisher.", Product Data For
104416,FIRE EXTINGUISHERS,1.4-B,ACTION SUBMITTALS,Product Schedule,"Product Schedule : For fire extinguishers. Coordinate final fire-extinguisher schedule with fire-
protection cabinet schedule to ensure proper fit and function.", Fire Protection Cabinet
104416,FIRE EXTINGUISHERS,1.5-A,INFORMATIONAL SUBMITTALS,Warranty,Warranty : Sample of special warranty., Warranty Sample special
104416,FIRE EXTINGUISHERS,1.6-A,CLOSEOUT SUBMITTALS,O&M Manuals,Operation and Maintenance Data : For fire extinguishers to include in maintenance manuals., Maintenance Manuals
104416,FIRE EXTINGUISHERS,1.8-A-1,WARRANTY,Special Warranty,"1. Failures include, but are not limited to, the following: 
a. Failure of hydrostatic test according to NFPA 10 when testing interval required by 
NFPA 10 is within the warranty period. 
b. Faulty operation of valves or release levers.", failures include
104416,FIRE EXTINGUISHERS,1.8-A-2,WARRANTY,Special Warranty,2. Warranty Period: Six years from date of Substantial Completion., Warranty Period Six
105123,PLASTIC-LAMINATE-CLAD LOCKERS,1.10-A-1,WARRANTY,Special Warranty,"1. Failures include, but are not limited to, the following: 
a. Structural failures. 
b. Faulty operation of locks or hardware. 
c. Deterioration of wood, finishes, and other materials beyond normal use.", failures include
105123,PLASTIC-LAMINATE-CLAD LOCKERS,1.10-A-2,WARRANTY,Special Warranty,2. Warranty Period: Three years from date of Substantial Completion., Warranty Period Three
105123,PLASTIC-LAMINATE-CLAD LOCKERS,1.3-A-1,ACTION SUBMITTALS,Product Data,"1. Include construction details, material descriptions, dimensions of individual components 
and profiles, and finishes for each type of locker and bench.", Include construction details
105123,PLASTIC-LAMINATE-CLAD LOCKERS,1.3-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Include plans, elevations, sections, and attachment details.", Include plans elevation
105123,PLASTIC-LAMINATE-CLAD LOCKERS,1.3-B-2,ACTION SUBMITTALS,Shop Drawings,2. Show details full size., Show details size
105123,PLASTIC-LAMINATE-CLAD LOCKERS,1.3-B-3,ACTION SUBMITTALS,Shop Drawings,"3. Show locations and sizes of furring, blocking, and hanging strips, including concealed 
blocking and reinforcement specified in other Sections.", Show locations sizes
105123,PLASTIC-LAMINATE-CLAD LOCKERS,1.3-B-4,ACTION SUBMITTALS,Shop Drawings,4. Show locations and sizes of cutouts and holes for items installed in lockers., Show locations sizes
105123,PLASTIC-LAMINATE-CLAD LOCKERS,1.3-B-5,ACTION SUBMITTALS,Shop Drawings,"5. Show locker fillers, trim, base, sloping tops, and accessories.", Show locker fill
105123,PLASTIC-LAMINATE-CLAD LOCKERS,1.3-B-6,ACTION SUBMITTALS,Shop Drawings,6. Show locker identification system and numbering sequence., Show locker identification
105123,PLASTIC-LAMINATE-CLAD LOCKERS,1.3-C-1,ACTION SUBMITTALS,Samples,1. High-pressure decorative laminates., Highpressure decorative
105123,PLASTIC-LAMINATE-CLAD LOCKERS,1.3-C-2,ACTION SUBMITTALS,Samples,2. Thermoset decorative overlay panels., decorative overlay panels
105123,PLASTIC-LAMINATE-CLAD LOCKERS,1.3-C-3,ACTION SUBMITTALS,Samples,3. Carpet., Carpet:</s>
105123,PLASTIC-LAMINATE-CLAD LOCKERS,1.3-D-1,ACTION SUBMITTALS,Samples,"1. Plastic-laminate-clad panels, not less than 8 by 10 inches, for each type, color, pattern, 
and surface finish, with separate samples of unfaced panel product used for core.", plasticlam
105123,PLASTIC-LAMINATE-CLAD LOCKERS,1.3-D-2,ACTION SUBMITTALS,Samples,"2. Thermoset decorative-overlay-surfaced panels, not less than 8 by 10 inches, for each 
type, color, pattern, and surface finish. 
", decorativeoverlay
105123,PLASTIC-LAMINATE-CLAD LOCKERS,1.3-D-3,ACTION SUBMITTALS,Samples,"3. Corner pieces of locker front frame joints between stiles and rail, as well as exposed end 
pieces, not less than 18 inches wide by 18 inches high by 6 inches deep.", Corner pieces locker
105123,PLASTIC-LAMINATE-CLAD LOCKERS,1.3-D-4,ACTION SUBMITTALS,Samples,"4. Exposed cabinet hardware and accessories, one unit for each type and finish.", Cabinet hardware accessories
105123,PLASTIC-LAMINATE-CLAD LOCKERS,1.3-D-5,ACTION SUBMITTALS,Samples,"5. Carpet, not less than 8 by 10 inches, for each type, color, and pattern.", Carpet inches type
105123,PLASTIC-LAMINATE-CLAD LOCKERS,1.4-A,INFORMATIONAL SUBMITTALS,Qualification Data,Qualification Data : For Installer., Qualification Data For
105123,PLASTIC-LAMINATE-CLAD LOCKERS,1.4-B,INFORMATIONAL SUBMITTALS,Sample Warranty,Sample Warranty : For special warranty., Sample Warranty For
105123,PLASTIC-LAMINATE-CLAD LOCKERS,1.5-A,CLOSEOUT SUBMITTALS,Maintenance Data,"Maintenance Data : For adjusting, repairing, and replacing locker doors and latching 
mechanisms to include in maintenance manuals.", Maintenance Manuals
105123,PLASTIC-LAMINATE-CLAD LOCKERS,1.6-A-1,MAINTENANCE MATERIAL SUBMITTALS,Attic Stock,"1. Locker doors, complete with specified door hardware. Furnish no fewer than five doors 
of each type and color installed.", Locker doors
105123,PLASTIC-LAMINATE-CLAD LOCKERS,1.6-A-2,MAINTENANCE MATERIAL SUBMITTALS,Attic Stock,"2. Units of the following locker hardware items equal to 10 percent of amount installed for 
each type and finish installed, but no fewer than five units: 
a. Hinges. 
b. Pulls. 
c. Shelf rests. 
d. Cylinder locks. 
e. Hooks.", the following locker
107300,PRE-ENGINEERED CANOPY SYSTEM,1.2-A,SUBMITTALS,Product Data,"Submit manufacturers product data. Include construction details, material descriptions,
profiles and finishes of components.", Submit manufacturers
107300,PRE-ENGINEERED CANOPY SYSTEM,1.2-B,SUBMITTALS,Shop Drawings,"Submit shop drawings. Include plans, elevations, and details.", Submit shop
107300,PRE-ENGINEERED CANOPY SYSTEM,1.2-C-1,SUBMITTALS,Samples,"1. When requested, submit samples for each exposed finish required, in same thickness 
and material indicated for the work and in size indicated below. If finishes involve 
normal color variations, include sample sets consisting of two or more units showing 
the full range of variations expected. 
a. Sandwich panels: 7x12 units 
b. Factory finished aluminum: 5 long sections", a Sandwich
107300,PRE-ENGINEERED CANOPY SYSTEM,1.2-D,SUBMITTALS,Certificates,"Submit Installer Certificate, signed by installer, certifying compliance with project
qualification requirements.", Submit Install
107300,PRE-ENGINEERED CANOPY SYSTEM,1.2-E-1,SUBMITTALS,Performance Data,"1. Reports required (if applicable) are: 
a. International Building Code Evaluation Report (AC 177) 
 
b. Flame Spread and Smoke Developed (UL 723) Submit UL Card 
c. Burn Extent (ASTM D 635) 
d. Color Difference (ASTM D 2244) 
e. Impact Strength (UL 972) 
f. Bond Tensile Strength (ASTM C 297 after aging by ASTM D 1037) 
g. Bond Shear Strength (ASTM D 1002) 
h. Beam Bending Strength (ASTM E 72) 
i. Insulation U-Factor (NFRC 100 or ASTM C-236) 
j. 1200F Fire Resistance (SWRI) 
k. Fall Through Resistance (ASTM E 661) 
l. Class A Roof Covering Burning Brand (ASTM E 108)", UL Card
107300,PRE-ENGINEERED CANOPY SYSTEM,1.2-F,SUBMITTALS,Delegated-Design Submittal,Delegated-Design Submittal : For pre-engineered canopy system., Delegated
107300,PRE-ENGINEERED CANOPY SYSTEM,1.3-A,CLOSEOUT SUBMITTALS,Maintenance Data,Provide project maintenance manuals., Provide project maintenance
107300,PRE-ENGINEERED CANOPY SYSTEM,1.5-C-1,PERFORMANCE REQUIREMENTS,Delegated-Design Submittal,"1. Include structural analysis data signed and sealed by the qualified professional engineer 
responsible for their preparation.", Include structural analysis
107300,PRE-ENGINEERED CANOPY SYSTEM,1.7-A,WARRANTY,Warranty,"Provide manufacturer's and installer's written warranty agreeing to repair or replace canopy
system work, which fails in materials or workmanship within five year from the date of
delivery. Failure of materials or workmanship shall include leakage, excessive deflection,
deterioration of finish on metal in excess of normal weathering, defects in accessories,
insulated translucent sandwich panels and other components of the work.", manufacturer's
111316,LOADING DOCK SEALS AND SHELTERS,1.4-A-1,ACTION SUBMITTALS,Product Data,"1. Include construction details, material descriptions, dimensions of individual components 
and profiles, and finishes.", Include construction details
111316,LOADING DOCK SEALS AND SHELTERS,1.4-A-2,ACTION SUBMITTALS,Product Data,2. Include electrical characteristics of inflatable blower motor., Include electrical characteristics
111316,LOADING DOCK SEALS AND SHELTERS,1.4-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Include plans, elevations, sections, and attachment details.", Include plans elevation
111316,LOADING DOCK SEALS AND SHELTERS,1.4-B-2,ACTION SUBMITTALS,Shop Drawings,"2. Detail assemblies and indicate dimensions, weights, required clearances, method of field 
assembly, components, and location and size of anchors and field connection.", Detail assemblies indicate
111316,LOADING DOCK SEALS AND SHELTERS,1.4-B-3,ACTION SUBMITTALS,Shop Drawings,"3. Include diagrams for power, signal, and control wiring of inflatable blower motor.", Include diagrams
111316,LOADING DOCK SEALS AND SHELTERS,1.4-C,ACTION SUBMITTALS,Samples,Samples for Verification : For each type of fabric indicated., Samples Ver
111316,LOADING DOCK SEALS AND SHELTERS,1.5-A,CLOSEOUT SUBMITTALS,O&M Manuals,"Operation and Maintenance Data : For inflatable units to include in operation and maintenance 
manuals.", Operation Maintenance
111319,STATIONARY LOADING DOCK EQUIPMENT,1.11-A-1,WARRANTY,Manufacturers Warranty,"1. Failures include, but are not limited to, the following: 
a. Structural failures including cracked or broken structural support members, load- 
bearing welds, and front and rear hinges. 
b. Faulty operation of operators, control system, or hardware. 
c. Deck plate failures including cracked plate or permanent deformation in excess of 
1/4 inch between deck supports. 
d. Hydraulic system failures including failure of hydraulic seals and cylinders.", failures include
111319,STATIONARY LOADING DOCK EQUIPMENT,1.11-A-2,WARRANTY,Manufacturers Warranty,2. Warranty Period for Structural Assembly: 10 years from date of Substantial Completion., Warranty Period St
111319,STATIONARY LOADING DOCK EQUIPMENT,1.11-A-3,WARRANTY,Manufacturers Warranty,3. Warranty Period for Hydraulic System: Five years from date of Substantial Completion., Hydraulic
111319,STATIONARY LOADING DOCK EQUIPMENT,1.11-A-4,WARRANTY,Manufacturers Warranty,"4. Warranty shall be for unlimited usage of leveler for the specified rated capacity over the 
term of the warranty.", Warranty shall unlimited
111319,STATIONARY LOADING DOCK EQUIPMENT,1.5-A-1,PREINSTALLATION MEETINGS,Meetings,"1. Inspect and discuss electrical roughing-in, equipment bases, and other preparatory work 
specified elsewhere.", Inspect discuss
111319,STATIONARY LOADING DOCK EQUIPMENT,1.5-A-2,PREINSTALLATION MEETINGS,Meetings,2. Review sequence of operation for each type of loading dock equipment., Review sequence operation
111319,STATIONARY LOADING DOCK EQUIPMENT,1.5-A-3,PREINSTALLATION MEETINGS,Meetings,3. Review coordination of interlocked equipment specified in this Section and elsewhere., Review coordination inter
111319,STATIONARY LOADING DOCK EQUIPMENT,1.5-A-4,PREINSTALLATION MEETINGS,Meetings,"4. Review required testing, inspecting, and certifying procedures.", Review required testing
111319,STATIONARY LOADING DOCK EQUIPMENT,1.6-A-1,ACTION SUBMITTALS,Product Data,"1. Include construction details, material descriptions, dimensions of individual components 
and profiles, and finishes for stationary loading dock equipment.", Include construction details
111319,STATIONARY LOADING DOCK EQUIPMENT,1.6-A-2,ACTION SUBMITTALS,Product Data,"2. Include rated capacities, operating characteristics, electrical characteristics, and furnished 
specialties and accessories.", Include rated
111319,STATIONARY LOADING DOCK EQUIPMENT,1.6-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Include plans, elevations, sections, and attachment details.", Include plans elevation
111319,STATIONARY LOADING DOCK EQUIPMENT,1.6-B-2,ACTION SUBMITTALS,Shop Drawings,"2. Include details of equipment assemblies. Indicate dimensions, weights, loads, required 
clearances, method of field assembly, components, and location and size of anchors and 
each field connection.", Include details equipment
111319,STATIONARY LOADING DOCK EQUIPMENT,1.6-B-3,ACTION SUBMITTALS,Shop Drawings,"3. Include diagrams for power, signal, and control wiring.", Include diagrams
111319,STATIONARY LOADING DOCK EQUIPMENT,1.7-A,INFORMATIONAL SUBMITTALS,Qualification Data,Qualification Data : For Installer., Qualification Data For
111319,STATIONARY LOADING DOCK EQUIPMENT,1.7-B,INFORMATIONAL SUBMITTALS,Certificates,Welding certificates., Weld
111319,STATIONARY LOADING DOCK EQUIPMENT,1.7-C-1,INFORMATIONAL SUBMITTALS,Test Reports,"1. Indicate compliance of dock levelers with requirements in MH 30.1 for determining rated 
capacity based on comprehensive testing within last two years of current products.", Indicate compliance
111319,STATIONARY LOADING DOCK EQUIPMENT,1.7-C-2,INFORMATIONAL SUBMITTALS,Test Reports,2. Submittal Form: According to MH 30.1., Submittal
111319,STATIONARY LOADING DOCK EQUIPMENT,1.7-D,INFORMATIONAL SUBMITTALS,Sample Warranty,Sample Warranty : For manufacturer's special warranty., Sample Warranty For
111319,STATIONARY LOADING DOCK EQUIPMENT,1.8-A,CLOSEOUT SUBMITTALS,O&M Manuals,"Operation and Maintenance Data : For stationary loading dock equipment to include in operation 
and maintenance manuals.", Operation Maintenance
111319,STATIONARY LOADING DOCK EQUIPMENT,3.6-A,MAINTENANCE SERVICE,Maintenance Data,"Beginning at Substantial Completion, maintenance service shall include 12 months' full
maintenance by skilled employees of loading dock equipment Installer. Include preventive
maintenance, repair or replacement of worn or defective components, lubrication, cleaning, and
adjusting as required for proper loading dock equipment operation at rated speed and capacity.
Parts and supplies shall be manufacturer's authorized replacement parts and supplies.", Parts supplies
111319,STATIONARY LOADING DOCK EQUIPMENT,3.7-A,DEMONSTRATION,O&M Training And Demonstration,"Train Owner's maintenance personnel to adjust, operate, and maintain loading dock equipment.", Train Owners
115313,LABORATORY FUME HOODS,1.4-A,ACTION SUBMITTALS,Product Data,Product Data : For each type of product., Product Data For
115313,LABORATORY FUME HOODS,1.4-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Include plans, elevations, sections, and attachment details.", Include plans elevation
115313,LABORATORY FUME HOODS,1.4-B-2,ACTION SUBMITTALS,Shop Drawings,"2. Indicate details for anchoring fume hoods to permanent building construction including 
locations of blocking and other supports. Include calculations demonstrating that 
anchorages comply with seismic performance requirements.", Indicate details
115313,LABORATORY FUME HOODS,1.4-B-3,ACTION SUBMITTALS,Shop Drawings,"3. Indicate locations and types of service fittings together with associated service supply 
connection required.", Indicate locations
115313,LABORATORY FUME HOODS,1.4-B-4,ACTION SUBMITTALS,Shop Drawings,"4. Indicate duct connections, electrical connections, and locations of access panels.", Indicate 
115313,LABORATORY FUME HOODS,1.4-B-5,ACTION SUBMITTALS,Shop Drawings,"5. Include roughing-in information for mechanical, plumbing, and electrical connections.", Include roughing
115313,LABORATORY FUME HOODS,1.4-B-6,ACTION SUBMITTALS,Shop Drawings,"6. Show adjacent walls, doors, windows, other building components, laboratory casework, 
and other laboratory equipment. Indicate clearances from the above items.", cn
115313,LABORATORY FUME HOODS,1.4-B-7,ACTION SUBMITTALS,Shop Drawings,"7. Include layout of fume hoods in relation to lighting fixtures and air-conditioning registers 
and grilles.", Include layout fum
115313,LABORATORY FUME HOODS,1.4-B-8,ACTION SUBMITTALS,Shop Drawings,8. Include coordinated dimensions for laboratory equipment specified in other Sections., Include coordinated dimensions
115313,LABORATORY FUME HOODS,1.4-C,ACTION SUBMITTALS,Delegated-Design Submittal,"Delegated-Design Submittal : For fume hoods indicated to comply with seismic performance 
requirements and design criteria.", Delegated
115313,LABORATORY FUME HOODS,1.5-A,INFORMATIONAL SUBMITTALS,Test Reports,"Product Test Reports : Showing compliance with specified performance requirements for as-
manufactured containment and static pressure loss, based on evaluation of comprehensive tests
performed by manufacturer and witnessed bya qualified testing agency.", qualified testing agency
115313,LABORATORY FUME HOODS,1.5-B,INFORMATIONAL SUBMITTALS,Reports,Source quality-control reports., Source qualitycontrol
115313,LABORATORY FUME HOODS,1.5-C,INFORMATIONAL SUBMITTALS,Reports,Field quality-control reports., Field qualitycontrol
115313,LABORATORY FUME HOODS,1.6-A,MAINTENANCE MATERIAL SUBMITTALS,Attic Stock,"Furnish complete touchup kit for each type and color of fume hood finish provided. Include fillers,
primers, paints, and other materials necessary to perform permanent repairs to damaged fume
hood finish.", Furnish
115313,LABORATORY FUME HOODS,2.9-A,SOURCE QUALITY CONTROL,O&M Training And Demonstration,"Demonstrate fume hood performance before shipment by testing fume hoods according to
ASHRAE 110 as modified in ""Performance Requirements"" Article. Provide testing facility,
instruments, equipment, and materials needed for tests.", Demons
118226,FACILITY WASTE COMPACTORS,1.3-A-1,PREINSTALLATION MEETINGS,Meetings,"1. Inspect and discuss electrical, plumbing, and sprinkler roughing-in; equipment bases; and 
other preparatory work specified elsewhere.", Inspect discuss
118226,FACILITY WASTE COMPACTORS,1.3-A-2,PREINSTALLATION MEETINGS,Meetings,2. Review coordination of chute and diverter locations with waste compactors., Review chute diver
118226,FACILITY WASTE COMPACTORS,1.3-A-3,PREINSTALLATION MEETINGS,Meetings,"3. Review sanitary requirements for water bibs, floor drains, and grease traps if required for 
Project to reduce decomposition and odors.", Review sanitary
118226,FACILITY WASTE COMPACTORS,1.3-A-4,PREINSTALLATION MEETINGS,Meetings,"4. Review haul routes of waste to the compactor, route of hauler's equipment, and 
protections along these routes that are specified elsewhere.", Review haul routes
118226,FACILITY WASTE COMPACTORS,1.3-A-5,PREINSTALLATION MEETINGS,Meetings,"5. Review required testing, inspection, and certification procedures.", Review required testing
118226,FACILITY WASTE COMPACTORS,1.4-A-1,ACTION SUBMITTALS,Product Data,"1. Include rated capacities, operating characteristics, furnished specialties and accessories, 
and finishes.", Include rated
118226,FACILITY WASTE COMPACTORS,1.4-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Include plans, elevations, sections, and attachment details.", Include plans elevation
118226,FACILITY WASTE COMPACTORS,1.4-B-2,ACTION SUBMITTALS,Shop Drawings,"2. Include details of equipment assemblies. Indicate dimensions, weights, loads, required 
clearances, method of field assembly, components, and location and size of each field 
connection. 
", Include details equipment
118226,FACILITY WASTE COMPACTORS,1.4-B-3,ACTION SUBMITTALS,Shop Drawings,3. Dimension chute and diverter locations that interface with waste compactors., Dimension chute diver
118226,FACILITY WASTE COMPACTORS,1.4-B-4,ACTION SUBMITTALS,Shop Drawings,"4. Include location and installation details of automatic sprinkler in hopper of each chute- 
fed compactor.", Include location installation
118226,FACILITY WASTE COMPACTORS,1.4-B-5,ACTION SUBMITTALS,Shop Drawings,5. Indicate equipment access points and required space for equipment service and operation., Indicate equipment
118226,FACILITY WASTE COMPACTORS,1.4-B-6,ACTION SUBMITTALS,Shop Drawings,"6. Include setting drawings, templates, and instructions for installing anchor bolts and other 
anchorages.", Include setting drawings
118226,FACILITY WASTE COMPACTORS,1.4-B-7,ACTION SUBMITTALS,Shop Drawings,"7. Include diagrams for power, signal, and control wiring.", Include diagrams
118226,FACILITY WASTE COMPACTORS,1.5-A,INFORMATIONAL SUBMITTALS,Qualification Data,Qualification Data : For Installer., Qualification Data For
118226,FACILITY WASTE COMPACTORS,1.5-B,INFORMATIONAL SUBMITTALS,Certificates,Product Certificates : For each type of waste compactor., Product Certificates
118226,FACILITY WASTE COMPACTORS,1.5-C,INFORMATIONAL SUBMITTALS,Reports,Field quality-control reports., Field qualitycontrol
118226,FACILITY WASTE COMPACTORS,1.6-A,CLOSEOUT SUBMITTALS,O&M Manuals,"Operation and Maintenance Data : For waste compactors to include in operation and 
maintenance manuals.", Operation Maintenance
118226,FACILITY WASTE COMPACTORS,1.6-B,CLOSEOUT SUBMITTALS,Maintenance Service,"Continuing Maintenance Proposal : From Installer to Owner, in the form ofa standard five-year 
maintenance agreement, starting on date maintenance service is concluded. State services,
obligations, conditions, and terms for agreement period and for future renewal options.", Continuing Maintenance
118226,FACILITY WASTE COMPACTORS,3.4-A,MAINTENANCE SERVICE,Maintenance Data,"Maintenance Service : Beginning at Substantial Completion, initial maintenance service shall 
include 12 months' full maintenance by skilled employees of waste-compactor Installer. Include
monthly preventive maintenance, repair, or replacement of worn or defective components,
lubrication, cleaning, and adjusting as required for proper waste-compactor operation. Parts and
supplies shall be manufacturer's authorized replacement parts and supplies.", Maintenance Service Beginning
122413,ROLLER WINDOW SHADES,1.3-A-1,ACTION SUBMITTALS,Product Data,"1. Include construction details, material descriptions, dimensions of individual components 
and profiles, features, finishes, and operating instructions for roller shades.", Include construction details
122413,ROLLER WINDOW SHADES,1.3-B-1,ACTION SUBMITTALS,Shop Drawings,"1. Motor-Operated Shades: Include details of installation and diagrams for power, signal, and 
control wiring.", MotorOper
122413,ROLLER WINDOW SHADES,1.3-C,ACTION SUBMITTALS,Samples,"Samples : For each exposed product and for each color and texture specified, 10 inches long.", Samples For
122413,ROLLER WINDOW SHADES,1.3-D-1,ACTION SUBMITTALS,Samples,"1. Shadeband Material: Not less than 3 inches square. Mark interior face of material if 
applicable.", Shadeband Material
122413,ROLLER WINDOW SHADES,1.3-D-2,ACTION SUBMITTALS,Samples,"2. Roller Shade: Full-size operating unit, not less than 16 inches wide by 36 inches long for 
each type of roller shade indicated.", Roller Shade Full
122413,ROLLER WINDOW SHADES,1.3-D-3,ACTION SUBMITTALS,Samples,"3. Installation Accessories: Full-size unit, not less than 10 inches long.", Installation Accessories Full
